key,cycle,card_id,title_zh,title_en,kind,auto_settle,grants,base,modifiers,manual,unresolved,warnings,confidence,notes
c1:6400,c1,6400,坏日子,DOG DAYS,none,none,,,,每有3 ICON(cloaked-figure glyph)，失去-1 ✕，然后失去-3 ICON(cloaked-figure glyph)。 / 如果没有失去 ✕，获得+1 ICON(cloaked-figure glyph)。 / [ICON(black lozenge with white vessel glyph) 7+] Gain +2 ICON(cloaked-figure glyph).,,,medium,"Chinese rules text; two glyphs unresolved: a dark cloaked-figure icon (4 uses, white round head) and a bold ✕. Badge is a dark lozenge with a white vessel glyph plus '7+'. No corner disc."
c1:6401,c1,6401,米诺斯人舰队,MINOAN FLEET,resource-plus,partial,Friendly（恰好 +1） → Trireme ×4,,[Friendly]Trireme×4（追加）,根据你们与米诺斯人的外交关系结算一项效果。 / [Allied] Gain +1 ICON(disc-with-emblem glyph). / [Neutral] Each Argonaut gains +1 A. / [Unfriendly] Gain +1 ICON(cup/urn glyph). / [Denounced] Lose -1 Titan. / [At War] Lose -1 ICON(disc-with-emblem glyph). / [ICON(black lozenge with white vessel glyph) 7+] 随机一名阿尔戈英雄获得1枚绝望指示物。,,,medium,Diplomacy card. Unresolved glyphs: a black disc with a white emblem (Allied grant / At War loss) and a dark cup-or-urn glyph (Unfriendly grant); badge is a dark lozenge with a white vessel glyph plus '7+'.
c1:6402,c1,6402,角誓者舰队,HORNSWORN FLEET,none,none,,,,根据你们与角誓者的外交关系结算一项效果。 / [Allied] Gain +1 ICON(cup/urn glyph). / [Friendly] Chosen Argonaut gains 1 Mnemos node. / [Neutral] Chosen Argonaut gains +1 A. / [Unfriendly] Gain +1 ICON(cup/urn glyph). / [Denounced] Gain +2 ICON(cloaked-figure glyph). / [At War] Lose -1 ✕. / [ICON(black lozenge with white vessel glyph) 7+] 随机一名阿尔戈英雄获得1枚绝望指示物。,,,medium,"Diplomacy card. Unresolved glyphs: dark cup-or-urn glyph (Allied+Unfriendly grants), dark cloaked-figure glyph (Denounced grant), bold ✕. Badge = dark lozenge with white vessel glyph plus '7+'."
c1:6403,c1,6403,迷宫徒轮船,LABYRINTHIAN VESSEL,none,none,（未识别）Calcified Knuckle Bone or Fleshy Mantle ×1,,,"根据你们与迷宫徒的外交关系结算一项效果。 / [Allied] Gain +1 ✕ and +1 ICON(cloaked-figure glyph). / [Neutral] Each Argonaut gains +1 Ψ. / [Unfriendly] Gain +1 ICON(cup/urn glyph). / [Denounced] At the start of the next Timeline Battle, Escalate 1. / [At War] Gain +1 ICON(skull glyph). / [ICON(black lozenge with white vessel glyph) 7+] 随机一名阿尔戈英雄获得1枚绝望指示物。",未在 c1 记录表资源表里找到：Calcified Knuckle Bone or Fleshy Mantle,,medium,"Diplomacy card. Unresolved glyphs: bold ✕, dark cloaked-figure glyph, dark cup-or-urn glyph, and a small dark glyph with a white skull (At War grant); Neutral glyph may be 'A'."
c1:6404,c1,6404,贸易站,TRADE POST,resource-only,full,Trireme ×1；Friendly+（+1 或更好） → Trireme ×2,Trireme×1,[Friendly+]Trireme×2（替换）,,,,high,Thin divider between the base effect and the 'Friendly+' replacement branch; 'instead' branch flagged. Corner disc clearly reads 4.
c1:6405,c1,6405,贸易站,TRADE POST,resource-only,full,Trireme ×1；Friendly+（+1 或更好） → Trireme ×2,Trireme×1,[Friendly+]Trireme×2（替换）,,,,high,Text identical to card 6404 but corner disc reads 8 and code AB0080; divider separates base effect from the 'Friendly+' replacement.
c1:6406,c1,6406,渔码头,FISHING PIER,resource-plus,partial,Trireme ×2,Trireme×2,,[Denounced-] Chosen Argonaut gains +1 A.,,,high,"Corner disc holds a plain vertical bar, read as 1. Badge lozenge prints 'Denounced-' with the hyphen attached at the right edge."
c1:6407,c1,6407,战船残骸,TRIREME WRECK,resource-plus,partial,Trireme ×2,Trireme×2,,[Denounced-] Chosen Argonaut gains +1 A.,,,high,Badge reads 'Denounced-' with trailing hyphen; divider above it separates base effect from conditioned clause.
c1:6408,c1,6408,战船残骸,TRIREME WRECK,resource-plus,partial,Trireme ×2,Trireme×2,,[Denounced-] Chosen Argonaut gains +1 A.,,,high,Corner disc reads 13; badge 'Denounced-' with trailing hyphen.
c1:6409,c1,6409,铁匠铺,SMITHY,resource-only,full,Armament ×1；Friendly+（+1 或更好） → Armament ×2,Armament×1,[Friendly+]Armament×2（替换）,,,,high,Divider between the two lines is the base/replacement separator. Badge 'Friendly+' with trailing plus.
